SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
ssa,_,"-""-",-,-,4,5,0,1,0,1,10,3,1,0,309700000,1871672,939
ssa,_,"-""-",-,-,5,3,0,0,0,0,6,0,0,0,147000000,1871672,635
ssa,10,t9,1,4,0,4,4,2,2,4,36,8,8,4,518500000,2177344,1711
ssa,_,"-""-",-,-,1,4,7,2,2,4,40,9,9,7,838200000,2177344,2063
ssa,_,"-""-",-,-,2,5,5,3,3,6,65,10,10,5,753200000,2177344,2221
ssa,_,"-""-",-,-,3,4,3,2,1,2,20,3,3,3,529900000,2177344,1397
SAG_TYPE,Sr No.,FileName,#Contracts,#Functions,FunctionID,#Variables,#Overhead,#Dead_nodes,EN,EX,RC,CV,SPV,NP,Time,OGR Size,SA OBJ Size
dsa,1,t0,1,11,0,3,2,2,0,0,0,0,0,2,264199999,696472,978
dsa,_,"-""-",-,-,1,3,0,2,0,0,0,0,0,0,228100000,696472,846
dsa,_,"-""-",-,-,2,3,1,3,0,0,0,0,0,1,237500000,696472,920
dsa,_,"-""-",-,-,3,3,1,3,0,0,0,0,0,1,333400000,696472,982
dsa,_,"-""-",-,-,4,3,1,5,0,0,0,0,0,1,300600000,696472,1160
dsa,_,"-""-",-,-,5,3,1,3,0,0,0,0,0,1,313000000,696472,1032
dsa,_,"-""-",-,-,6,3,2,8,0,0,0,0,0,2,413100000,696472,1401
dsa,_,"-""-",-,-,7,3,4,6,0,0,0,0,0,4,951900000,696472,1509
dsa,_,"-""-",-,-,8,3,5,9,0,0,0,0,0,5,1305500000,696472,1902
dsa,_,"-""-",-,-,9,4,4,6,0,0,0,0,0,4,431300000,696472,1308
dsa,_,"-""-",-,-,10,6,4,6,0,0,0,0,0,4,503800000,696472,1459
dsa,2,t1,1,14,0,4,3,1,0,0,0,0,0,3,450300000,1127088,1184
dsa,_,"-""-",-,-,1,4,5,3,0,0,0,0,0,5,473000000,1127088,1484
dsa,_,"-""-",-,-,2,4,4,3,0,0,0,0,0,4,587000000,1127088,1471
dsa,_,"-""-",-,-,3,4,3,1,0,0,0,0,0,3,390000000,1127088,1139
